"Alt, Rainer",2018,103
"Dinter, Barbara",2018,3
"Buschek, Daniel",2018,15
"Hoegen, Andreas",2018,40
"Schlangenotto, Darius",2018,4
"Gimpel, Henner",2018,6
"Bühler, Julian",2018,3
"Bader, Patrick",2019,13
"Mihale-Wilson, A. Cristina",2019,15
"Jakobi, Timo",2019,22
"Croitor, Evgheni",2019,11
"Dorfleitner, Gregor",2018,28
"Harms, Patrick",2019,15
"Ocker, Fabian",2018,3
"Laubis, Kevin",2019,9
"Hirt, Robin",2019,8
"Dreyer, Sonja",2019,37
"Alt, Rainer",2019,14
"Wiegard, Rouven-B.",2019,25
"Alt, Rainer",2018,8
"Anke, Jürgen",2019,14
"Hopf, Konstantin",2018,20
"Kleindienst, Dominikus",2018,2
"Gimpel, Henner",2018,102
"Alt, Rainer",2017,2
"Buettner, Ricardo",2017,89
"Walsh, Gianfranco",2017,16
"Hess, Thomas",2018,7
"Künsemöller, Jörn",2017,4
"Linhart, Alexander",2017,2
"Alt, Rainer",2017,2
"Gadiraju, Ujwal",2017,21
"Heinrich, Bernd",2018,2
"Walsh, Gianfranco",2017,13
"Buettner, Ricardo",2017,44
"Berger, Benedikt",2018,6
"Alt, Rainer",2018,17
"Alt, Rainer",2018,2
"Willing, Christoph",2017,22
"Alt, Rainer",2017,4
"Winter, Patrick",2018,3
"Büsch, Sebastian",2017,2
"Bürger, Olga",2017,3
"Däs, Miriam",2017,5
"Kleindienst, Dominikus",2017,5
"Afflerbach, Patrick",2017,6
"Herrmann, Kai",2018,9
"Baur, Aaron W.",2017,32
"Alt, Rainer",2016,5
"Kessel, Marcus",2016,9
"Rivera-Pelayo, Verónica",2017,22
"Nellen, Johanna",2016,11
"Baethge, Catherine",2016,75
"Ludwig, Thomas",2017,28
"Alt, Rainer",2016,9
"Elbert, Ralf",2017,11
"Schultz, Carsten D.",2016,31
"Köhler, Sebastian",2016,12
"Papert, Marcel",2017,85
"Pohl, Henning",2017,60
"Ogonowski, Corinna",2016,30
"Alt, Rainer",2017,5
"Banz, Marion",2016,1
"Brich, Julia",2017,48
"Feuerriegel, Stefan",2016,5
"Gerpott, Torsten J.",2016,5
"Wan, Lin",2016,33
"Baumöl, Ulrike",2016,54
"Zimmerling, Eric",2016,9
"Tröger, Ralph",2017,3
"Hariharan, Anuja",2016,11
"Boden, Alexander",2016,2
"Koch, Oliver Francis",2017,33
"Zhou, Wenyan",2016,18
"Klier, Julia",2016,6
"Alt, Rainer",2016,5
"Alt, Rainer",2015,5
"Heinrich, Bernd",2016,5
"Schneider, Stephan",2015,15
"Alt, Rainer",2015,6
"Alt, Rainer",2016,7
"Alt, Rainer",2015,9
"Henneberger, Matthias",2016,6
"Scholz, Michael",2016,8
"Becker, Jörg",2016,29
"Steinhueser, Melanie",2015,15
"Tilly, Roman",2015,24
"Hornecker, Eva",2016,14
"Teschner, Florian",2015,6
"Heinrich, Bernd",2015,6
"Matt, Christian",2016,16
"Cuylen, Angelica",2016,12
"Reuter, Christian",2014,33
"Truschin, Sergej",2014,13
"Häckel, Björn",2014,2
"Dehling, Tobias",2014,25
"Ludwig, Nicole",2015,76
